label,cluster_no
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
rice,1
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
maize,3
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
chickpea,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
kidneybeans,4
